Project ID,Project Name,Vintage,Credit Serial Numbers,Quantity of Credits,Status Effective,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,ARB Eligible,CORSIA Qualified,Sustainable Development Goal(s),Date Issued,Account Holder,Cancellation Type,Cancellation Details,Cancellation Year,Transitioned to ARB or Canceled,Issuance Year,ARB Project,ACR Cancellation Data,Updated 11-1-23,Total Credits Canceled:,158905394,Unnamed: 26,The American Carbon Registry
ACR226,Marshall County VAM Abatement Project,2018,ACR-US-226-2018-866-1 to 225935,225935,2019-08-30,Coal Mine Methane,2011-10-20 00:00:00,"Glen Easton, WV  26039",WEST VIRGINIA,US,Yes,No,"09: Industry, Innovation and Infrastructure;13: Climate Action",2019-07-16 21:56:59,"NextEra Energy Marketing, LLC",Convert to ARB offset credits,,2019.0,ARB,2019,Compliance,,,,,,
ACR226,Marshall County VAM Abatement Project,2019,ACR-US-226-2019-1090-1 to 127576,127576,2020-11-05,Coal Mine Methane,2011-10-20 00:00:00,"Glen Easton, WV  26039",WEST VIRGINIA,US,Yes,No,"09: Industry, Innovation and Infrastructure;13: Climate Action",2020-08-27 15:57:47,"NextEra Energy Marketing, LLC",Convert to ARB offset credits,,2020.0,ARB,2020,Compliance,,,,,,
ACR226,Marshall County VAM Abatement Project,2020,ACR-US-226-2020-1331-1 to 105538,105538,2021-11-24,Coal Mine Methane,2014-04-25 00:00:00,"Glen Easton, WV  26039",WEST VIRGINIA,US,Yes,No,"09: Industry, Innovation and Infrastructure;13: Climate Action",2021-08-27 19:50:20,"NextEra Energy Marketing, LLC",Convert to ARB offset credits,,2021.0,ARB,2021,Compliance,,,,,,
ACR226,Marshall County VAM Abatement Project,2021,ACR-US-226-2021-1617-1 to 115309,115309,2022-11-14,Coal Mine Methane,2014-04-25 00:00:00,"Glen Easton, WV  26039",WEST VIRGINIA,US,Yes,No,"09: Industry, Innovation and Infrastructure;13: Climate Action",2022-08-01 21:23:50,"NextEra Energy Marketing, LLC",Convert to ARB offset credits,,2022.0,ARB,2022,Compliance,,,,,,
ACR226,Marshall County VAM Abatement Project,2022,ACR-US-226-2022-2027-1 to 40026,40026,2023-09-06,Coal Mine Methane,2014-04-25 00:00:00,"Glen Easton, WV  26039",WEST VIRGINIA,US,Yes,No,"09: Industry, Innovation and Infrastructure;13: Climate Action",2023-08-08 20:41:37,"NextEra Energy Marketing, LLC",Convert to ARB offset credits,,,ARB,2023,Compliance,,,,,,
ACR232,The Dry Creek Dairy Biofactory Project,2015,ACR-US-232-2015-553-1 to 43254,43254,2016-09-14,Livestock Waste Management,2014-11-14 00:00:00,Hansen,IDAHO,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2016-07-05 06:07:25,"Camco Offsets I, LLC",Convert to ARB offset credits,,2016.0,ARB,2016,Compliance,,,,,,
ACR232,The Dry Creek Dairy Biofactory Project,2016,ACR-US-232-2016-647-1 to 50088,50088,2017-08-23,Livestock Waste Management,2014-11-14 00:00:00,Hansen,IDAHO,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2017-06-05 23:09:35,"Camco Offsets I, LLC",Convert to ARB offset credits,,2017.0,ARB,2017,Compliance,,,,,,
ACR232,The Dry Creek Dairy Biofactory Project,2017,ACR-US-232-2017-744-1 to 55174,55174,2018-10-02,Livestock Waste Management,2014-11-14 00:00:00,Hansen,IDAHO,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2018-08-02 20:29:30,"Camco Offsets I, LLC",Convert to ARB offset credits,,2018.0,ARB,2018,Compliance,,,,,,
ACR232,The Dry Creek Dairy Biofactory Project,2018,ACR-US-232-2018-849-1 to 53275,53275,2019-07-30,Livestock Waste Management,2014-11-14 00:00:00,Hansen,IDAHO,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2019-05-28 15:12:09,"Camco Offsets I, LLC",Convert to ARB offset credits,,2019.0,ARB,2019,Compliance,,,,,,
ACR232,The Dry Creek Dairy Biofactory Project,2019,ACR-US-232-2019-1024-1 to 59299,59299,2020-10-26,Livestock Waste Management,2014-11-14 00:00:00,Hansen,IDAHO,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2020-06-15 23:57:22,"Camco Offsets I, LLC",Convert to ARB offset credits,,2020.0,ARB,2020,Compliance,,,,,,
ACR232,The Dry Creek Dairy Biofactory Project,2020,ACR-US-232-2020-1197-1 to 37114,37114,2021-05-04,Livestock Waste Management,2014-11-14 00:00:00,Hansen,IDAHO,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2021-01-28 22:29:11,"Camco Offsets I, LLC",Convert to ARB offset credits,,2021.0,ARB,2021,Compliance,,,,,,
ACR233,Double A Dairy,2015,ACR-US-233-2015-576-1 to 60194,60194,2016-11-09,Livestock Waste Management,2014-11-14 00:00:00,Jerome,IDAHO,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2016-09-30 14:30:57,"Camco Offsets I, LLC",Convert to ARB offset credits,,2016.0,ARB,2016,Compliance,,,,,,
ACR233,Double A Dairy,2016,ACR-US-233-2016-634-1 to 54602,54602,2017-05-24,Livestock Waste Management,2014-11-14 00:00:00,Jerome,IDAHO,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2017-05-03 14:21:55,"Camco Offsets I, LLC",Convert to ARB offset credits,,2017.0,ARB,2017,Compliance,,,,,,
ACR233,Double A Dairy,2017,ACR-US-233-2017-720-1 to 55058,55058,2018-06-29,Livestock Waste Management,2014-11-14 00:00:00,Jerome,IDAHO,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2018-05-18 16:50:55,"Camco Offsets I, LLC",Convert to ARB offset credits,,2018.0,ARB,2018,Compliance,,,,,,
ACR233,Double A Dairy,2018,ACR-US-233-2018-856-1 to 57195,57195,2019-07-31,Livestock Waste Management,2014-11-14 00:00:00,Jerome,IDAHO,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2019-06-05 19:22:10,"Camco EAM, LLC",Convert to ARB offset credits,,2019.0,ARB,2019,Compliance,,,,,,
ACR233,Double A Dairy,2019,ACR-US-233-2019-987-1 to 67734,67734,2020-06-25,Livestock Waste Management,2014-11-14 00:00:00,Jerome,IDAHO,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2020-04-10 18:04:44,"Camco EAM, LLC",Convert to ARB offset credits,,2020.0,ARB,2020,Compliance,,,,,,
ACR234,Alliance Dairy,2015,ACR-US-234-2015-572-1 to 12382,12382,2016-11-23,Livestock Waste Management,2014-11-14 00:00:00,Trenton,FLORIDA,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2016-09-28 15:17:15,"Camco Offsets I, LLC",Convert to ARB offset credits,,2016.0,ARB,2016,Compliance,,,,,,
ACR234,Alliance Dairy,2016,ACR-US-234-2016-633-1 to 14787,14787,2017-06-14,Livestock Waste Management,2014-11-14 00:00:00,Trenton,FLORIDA,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2017-04-06 22:30:26,"Camco Offsets I, LLC",Convert to ARB offset credits,,2017.0,ARB,2017,Compliance,,,,,,
ACR234,Alliance Dairy,2017,ACR-US-234-2017-786-1 to 14054,14054,2019-02-18,Livestock Waste Management,2014-11-14 00:00:00,Trenton,FLORIDA,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2018-11-21 18:11:57,"Camco Offsets I, LLC",Convert to ARB offset credits,,2019.0,ARB,2018,Compliance,,,,,,
ACR234,Alliance Dairy,2018,ACR-US-234-2018-805-1 to 15832,15832,2019-06-10,Livestock Waste Management,2014-11-14 00:00:00,Trenton,FLORIDA,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2019-02-26 01:52:56,"Camco Offsets I, LLC",Convert to ARB offset credits,,2019.0,ARB,2019,Compliance,,,,,,
ACR234,Alliance Dairy,2018,ACR-US-234-2018-819-1 to 32,32,2019-06-10,Livestock Waste Management,2014-11-14 00:00:00,Trenton,FLORIDA,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2019-04-16 22:34:43,"Camco Offsets I, LLC",Convert to ARB offset credits,,2019.0,ARB,2019,Compliance,,,,,,
ACR234,Alliance Dairy,2019,ACR-US-234-2019-1091-1 to 10809,10809,2021-01-08,Livestock Waste Management,2014-11-14 00:00:00,Trenton,FLORIDA,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2020-08-28 22:35:25,"Camco Offsets I, LLC",Convert to ARB offset credits,,2021.0,ARB,2020,Compliance,,,,,,
ACR234,Alliance Dairy,2020,ACR-US-234-2020-1356-1 to 16323,16323,2022-03-17,Livestock Waste Management,2014-11-14 00:00:00,Trenton,FLORIDA,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2021-09-27 17:11:21,"Camco Offsets I, LLC",Convert to ARB offset credits,,2022.0,ARB,2021,Compliance,,,,,,
ACR235,"Synergy Biogas, LLC",2015,ACR-US-235-2015-600-1 to 6904,6904,2017-02-22,Livestock Waste Management,2014-11-14 00:00:00,Wyoming,NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2016-12-01 22:43:38,"Camco Offsets I, LLC",Convert to ARB offset credits,,2017.0,ARB,2016,Compliance,,,,,,
ACR235,"Synergy Biogas, LLC",2016,ACR-US-235-2016-629-1 to 8081,8081,2017-05-10,Livestock Waste Management,2014-11-14 00:00:00,Wyoming,NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2017-03-29 16:26:49,"Camco Offsets I, LLC",Convert to ARB offset credits,,2017.0,ARB,2017,Compliance,,,,,,
ACR235,"Synergy Biogas, LLC",2017,ACR-US-235-2017-733-1 to 7020,7020,2018-07-27,Livestock Waste Management,2014-11-14 00:00:00,Wyoming,NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2018-06-18 18:20:04,"Camco Offsets I, LLC",Convert to ARB offset credits,,2018.0,ARB,2018,Compliance,,,,,,
ACR235,"Synergy Biogas, LLC",2018,ACR-US-235-2018-842-1 to 6257,6257,2019-09-16,Livestock Waste Management,2014-11-14 00:00:00,Wyoming,NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2019-05-15 14:13:14,"Camco Offsets I, LLC",Convert to ARB offset credits,,2019.0,ARB,2019,Compliance,,,,,,
ACR235,"Synergy Biogas, LLC",2019,ACR-US-235-2019-978-1 to 6216,6216,2020-05-14,Livestock Waste Management,2014-11-14 00:00:00,Wyoming,NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2020-03-25 18:37:02,"Camco Offsets I, LLC",Convert to ARB offset credits,,2020.0,ARB,2020,Compliance,,,,,,
ACR235,"Synergy Biogas, LLC",2020,ACR-US-235-2020-1370-1 to 5107,5107,2022-03-01,Livestock Waste Management,2014-11-14 00:00:00,Wyoming,NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2021-10-20 19:10:28,"Camco Offsets I, LLC",Convert to ARB offset credits,,2022.0,ARB,2021,Compliance,,,,,,
ACR235,"Synergy Biogas, LLC",2021,ACR-US-235-2021-1502-1 to 8824,8824,2022-07-15,Livestock Waste Management,2014-11-14 00:00:00,Wyoming,NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2022-05-02 14:40:35,"Camco EAM, LLC",Convert to ARB offset credits,,2022.0,ARB,2022,Compliance,,,,,,
ACR236,Green Meadow Farm,2019,ACR-US-236-2019-1237-1 to 5816,5816,2021-06-30,Livestock Waste Management,2014-11-14 00:00:00,Elsie,MICHIGAN,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2021-04-12 20:20:15,"Camco Offsets I, LLC",Convert to ARB offset credits,,2021.0,ARB,2021,Compliance,,,,,,
ACR236,Green Meadow Farm,2021,ACR-US-236-2021-1623-13437 to 13701,265,2023-06-20,Livestock Waste Management,2014-11-14 00:00:00,Elsie,MICHIGAN,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2022-08-12 02:18:16,"Camco Offsets I, LLC",Removal of credits from the registry,,,Canceled,2022,Compliance,,,,,,
ACR236,Green Meadow Farm,2021,ACR-US-236-2021-1623-1 to 13436,13436,2023-06-20,Livestock Waste Management,2014-11-14 00:00:00,Elsie,MICHIGAN,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2022-08-12 02:18:16,"Camco Offsets I, LLC",Convert to ARB offset credits,,,ARB,2022,Compliance,,,,,,
ACR238,Willet Dairy,2015,ACR-US-238-2015-587-1 to 17350,17350,2017-02-22,Livestock Waste Management,2014-11-14 00:00:00,King Ferry,NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2016-11-17 23:40:47,"Camco Offsets I, LLC",Convert to ARB offset credits,,2017.0,ARB,2016,Compliance,,,,,,
ACR238,Willet Dairy,2016,ACR-US-238-2016-645-1 to 15159,15159,2017-07-26,Livestock Waste Management,2014-11-14 00:00:00,King Ferry,NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2017-05-26 13:26:45,"Camco Offsets I, LLC",Convert to ARB offset credits,,2017.0,ARB,2017,Compliance,,,,,,
ACR238,Willet Dairy,2017,ACR-US-238-2017-731-1 to 14212,14212,2018-07-27,Livestock Waste Management,2014-11-14 00:00:00,King Ferry,NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2018-06-13 19:56:42,"Camco Offsets I, LLC",Convert to ARB offset credits,,2018.0,ARB,2018,Compliance,,,,,,
ACR238,Willet Dairy,2018,ACR-US-238-2018-833-1 to 16178,16178,2019-09-16,Livestock Waste Management,2014-11-14 00:00:00,King Ferry,NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2019-05-10 18:05:45,"Camco Offsets I, LLC",Convert to ARB offset credits,,2019.0,ARB,2019,Compliance,,,,,,
ACR238,Willet Dairy,2019,ACR-US-238-2019-970-1 to 15442,15442,2020-05-14,Livestock Waste Management,2014-11-14 00:00:00,King Ferry,NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2020-03-05 15:39:12,"Camco Offsets I, LLC",Convert to ARB offset credits,,2020.0,ARB,2020,Compliance,,,,,,
ACR238,Willet Dairy,2020,ACR-US-238-2020-1347-1 to 14662,14662,2022-01-20,Livestock Waste Management,2014-11-14 00:00:00,King Ferry,NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2021-09-17 20:43:51,"Camco Offsets I, LLC",Convert to ARB offset credits,,2022.0,ARB,2021,Compliance,,,,,,
ACR238,Willet Dairy,2021,ACR-US-238-2021-1496-1 to 21737,21737,2022-09-19,Livestock Waste Management,2014-11-14 00:00:00,King Ferry,NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2022-04-26 18:19:11,"Camco Offsets I, LLC",Convert to ARB offset credits,,2022.0,ARB,2022,Compliance,,,,,,
ACR239,"Edaleen Cow Power, LLC",2015,ACR-US-239-2015-546-1 to 8746,8746,2016-07-13,Livestock Waste Management,2014-11-14 00:00:00,Lynden,WASHINGTON,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2016-06-10 14:40:20,"Camco Offsets I, LLC",Convert to ARB offset credits,,2016.0,ARB,2016,Compliance,,,,,,
ACR239,"Edaleen Cow Power, LLC",2016,ACR-US-239-2016-612-1 to 8392,8392,2017-04-26,Livestock Waste Management,2014-11-14 00:00:00,Lynden,WASHINGTON,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2017-02-03 17:01:49,"Camco Offsets I, LLC",Convert to ARB offset credits,,2017.0,ARB,2017,Compliance,,,,,,
ACR239,"Edaleen Cow Power, LLC",2017,ACR-US-239-2017-717-1 to 8424,8424,2018-06-25,Livestock Waste Management,2014-11-14 00:00:00,Lynden,WASHINGTON,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2018-04-26 22:19:59,"Camco Offsets I, LLC",Convert to ARB offset credits,,2018.0,ARB,2018,Compliance,,,,,,
ACR239,"Edaleen Cow Power, LLC",2018,ACR-US-239-2018-802-1 to 7390,7390,2019-04-02,Livestock Waste Management,2014-11-14 00:00:00,Lynden,WASHINGTON,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2019-01-16 18:03:24,"Camco Offsets I, LLC",Convert to ARB offset credits,,2019.0,ARB,2019,Compliance,,,,,,
ACR239,"Edaleen Cow Power, LLC",2019,ACR-US-239-2019-926-1 to 5349,5349,2020-03-05,Livestock Waste Management,2014-11-14 00:00:00,Lynden,WASHINGTON,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2019-12-18 17:59:59,"Camco Offsets I, LLC",Convert to ARB offset credits,,2020.0,ARB,2019,Compliance,,,,,,
ACR239,"Edaleen Cow Power, LLC",2021,ACR-US-239-2021-1474-1 to 1790,1790,2022-09-30,Livestock Waste Management,2014-11-14 00:00:00,Lynden,WASHINGTON,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2022-03-10 19:15:14,"Camco Offsets I, LLC",Convert to ARB offset credits,,2022.0,ARB,2022,Compliance,,,,,,
ACR240,EOS ACR 240,2015,ACR-US-240-2015-400-1 to 129700,129700,2015-12-23,Ozone Depleting Substances,2014-11-14 00:00:00,Bowling Green,OHIO,US,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",2015-11-21 00:10:53,EOS Climate Inc,Convert to ARB offset credits,,2015.0,ARB,2015,Compliance,,,,,,
ACR241,Gardeau Crest Dairy,2015,ACR-US-241-2015-583-1 to 14179,14179,2016-12-28,Livestock Waste Management,2014-11-14 00:00:00,"4326 Middle Reservation Road, Perry, NY 14530",NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2016-11-02 17:29:35,"Camco Offsets I, LLC",Convert to ARB offset credits,,2016.0,ARB,2016,Compliance,,,,,,
ACR241,Gardeau Crest Dairy,2016,ACR-US-241-2016-642-1 to 14760,14760,2017-07-26,Livestock Waste Management,2014-11-14 00:00:00,"4326 Middle Reservation Road, Perry, NY 14530",NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2017-05-17 17:39:01,"Camco Offsets I, LLC",Convert to ARB offset credits,,2017.0,ARB,2017,Compliance,,,,,,
ACR241,Gardeau Crest Dairy,2017,ACR-US-241-2017-732-1 to 13612,13612,2018-07-27,Livestock Waste Management,2014-11-14 00:00:00,"4326 Middle Reservation Road, Perry, NY 14530",NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2018-06-14 18:30:25,"Camco Offsets I, LLC",Convert to ARB offset credits,,2018.0,ARB,2018,Compliance,,,,,,
ACR241,Gardeau Crest Dairy,2018,ACR-US-241-2018-828-1 to 13636,13636,2019-09-16,Livestock Waste Management,2014-11-14 00:00:00,"4326 Middle Reservation Road, Perry, NY 14530",NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2019-05-03 19:28:24,"Camco Offsets I, LLC",Convert to ARB offset credits,,2019.0,ARB,2019,Compliance,,,,,,
ACR241,Gardeau Crest Dairy,2019,ACR-US-241-2019-976-1 to 11149,11149,2020-06-02,Livestock Waste Management,2014-11-14 00:00:00,"4326 Middle Reservation Road, Perry, NY 14530",NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2020-03-19 18:56:18,"Camco Offsets I, LLC",Convert to ARB offset credits,,2020.0,ARB,2020,Compliance,,,,,,
ACR241,Gardeau Crest Dairy,2020,ACR-US-241-2020-1367-1 to 10957,10957,2022-01-20,Livestock Waste Management,2014-11-14 00:00:00,"4326 Middle Reservation Road, Perry, NY 14530",NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2021-10-04 21:55:45,"Camco Offsets I, LLC",Convert to ARB offset credits,,2022.0,ARB,2021,Compliance,,,,,,
ACR241,Gardeau Crest Dairy,2021,ACR-US-241-2021-1503-1 to 13549,13549,2022-07-29,Livestock Waste Management,2014-11-14 00:00:00,"4326 Middle Reservation Road, Perry, NY 14530",NEW YORK,US,Yes,No,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action",2022-05-03 14:47:57,"Camco Offsets I, LLC",Convert to ARB offset credits,,2022.0,ARB,2022,Compliance,,,,,,
ACR242,Cambria 33 Abandoned Mine Methane Capture and Use Project,2018,ACR-US-242-2018-809-1 to 22118,22118,2019-06-12,Coal Mine Methane,2011-10-20 00:00:00,Ebensburg,PENNSYLVANIA,US,Yes,No,"09: Industry, Innovation and Infrastructure;13: Climate Action",2019-03-14 22:21:59,Vessels Carbon Solutions,Convert to ARB offset credits,,2019.0,ARB,2019,Compliance,,,,,,
ACR242,Cambria 33 Abandoned Mine Methane Capture and Use Project,2019,ACR-US-242-2019-964-1 to 43213,43213,2020-04-24,Coal Mine Methane,2011-10-20 00:00:00,Ebensburg,PENNSYLVANIA,US,Yes,No,"09: Industry, Innovation and Infrastructure;13: Climate Action",2020-02-28 19:46:32,Vessels Carbon Solutions,Convert to ARB offset credits,,2020.0,ARB,2020,Compliance,,,,,,
ACR242,Cambria 33 Abandoned Mine Methane Capture and Use Project,2020,ACR-US-242-2020-1277-1 to 40242,40242,2021-08-27,Coal Mine Methane,2014-04-25 00:00:00,Ebensburg,PENNSYLVANIA,US,Yes,No,"09: Industry, Innovation and Infrastructure;13: Climate Action",2021-06-09 16:51:48,Vessels Carbon Solutions,Convert to ARB offset credits,,2021.0,ARB,2021,Compliance,,,,,,
ACR242,Cambria 33 Abandoned Mine Methane Capture and Use Project,2021,ACR-US-242-2021-1495-1 to 47616,47616,2022-06-23,Coal Mine Methane,2014-04-25 00:00:00,Ebensburg,PENNSYLVANIA,US,Yes,No,"09: Industry, Innovation and Infrastructure;13: Climate Action",2022-04-25 20:50:54,Vessels Carbon Solutions,Convert to ARB offset credits,,2022.0,ARB,2022,Compliance,,,,,,
ACR242,Cambria 33 Abandoned Mine Methane Capture and Use Project,2022,ACR-US-242-2022-1911-1 to 35423,35423,2023-07-26,Coal Mine Methane,2014-04-25 00:00:00,Ebensburg,PENNSYLVANIA,US,Yes,No,"09: Industry, Innovation and Infrastructure;13: Climate Action",2023-05-24 16:29:35,Vessels Carbon Solutions,Convert to ARB offset credits,,,ARB,2023,Compliance,,,,,,
ACR243,Elk Creek Coal Mine Methane Destruction & Utilization Project,2015,ACR-US-243-2015-595-1 to 266263,266263,2016-12-28,Coal Mine Methane,2011-10-20 00:00:00,Somerset,COLORADO,US,Yes,No,"09: Industry, Innovation and Infrastructure;13: Climate Action",2016-11-23 22:57:40,Vessels Carbon Solutions,Convert to ARB offset credits,,2016.0,ARB,2016,Compliance,,,,,,
ACR244,Wabashco Clean Sweep 5,2015,ACR-US-244-2015-391-1 to 57589,57589,2015-07-08,Ozone Depleting Substances,2011-10-20 00:00:00,Bowling Green,OHIO,US,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",2015-06-24 14:10:11,"Wabashco, LLC",Convert to ARB offset credits,,2015.0,ARB,2015,Compliance,,,,,,
ACR247,Finite Carbon - The Forestland Group Chateaugay Woodlands IFM,2016,ACR-US-247-2016-643-1 to 17152,17152,2020-04-22,Forest Carbon,2014-11-14 00:00:00,Owls Head,NEW YORK,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2017-05-26 07:48:58,The Forestland Group LLC,Removal of credits from the registry,,2020.0,Canceled,2017,Compliance,,,,,,
ACR247,Finite Carbon - The Forestland Group Chateaugay Woodlands IFM,2016,ACR-US-247-2016-643-17153 to 647214,630062,2020-05-05,Forest Carbon,2014-11-14 00:00:00,Owls Head,NEW YORK,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2017-05-26 07:48:58,The Forestland Group LLC,Convert to ARB offset credits,,2020.0,ARB,2017,Compliance,,,,,,
ACR247,Finite Carbon - The Forestland Group Chateaugay Woodlands IFM,2016,ACR-US-247-2016-644-1 to 4086,4086,2020-04-22,Forest Carbon,2014-11-14 00:00:00,Owls Head,NEW YORK,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2017-05-26 07:48:58,The American Carbon Registry,Removal of credits from the registry,,2020.0,Canceled,2017,Compliance,,,,,,
ACR247,Finite Carbon - The Forestland Group Chateaugay Woodlands IFM,2016,ACR-US-247-2016-644-4087 to 154191,150105,2020-05-05,Forest Carbon,2014-11-14 00:00:00,Owls Head,NEW YORK,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2017-05-26 07:48:58,The American Carbon Registry,Convert to ARB offset credits,,2020.0,ARB,2017,Compliance,,,,,,
ACR248,Cumberland Forest Highlands IFM,2016,ACR-US-248-2016-570-1 to 2384535,2384535,2016-12-14,Forest Carbon,2014-11-14 00:00:00,"Wise, Dickenson, Russell, and Buchannan Counties",VIRGINIA,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2016-09-01 19:02:57,The Forestland Group LLC,Convert to ARB offset credits,,2016.0,ARB,2016,Compliance,,,,,,
ACR248,Cumberland Forest Highlands IFM,2016,ACR-US-248-2016-571-1 to 568084,568084,2016-12-14,Forest Carbon,2014-11-14 00:00:00,"Wise, Dickenson, Russell, and Buchannan Counties",VIRGINIA,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2016-09-01 19:02:57,The American Carbon Registry,Convert to ARB offset credits,,2016.0,ARB,2016,Compliance,,,,,,
ACR248,Cumberland Forest Highlands IFM,2017,ACR-US-248-2017-711-1 to 986,986,2019-02-13,Forest Carbon,2014-11-14 00:00:00,"Wise, Dickenson, Russell, and Buchannan Counties",VIRGINIA,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2018-03-22 14:27:36,The Forestland Group LLC,Removal of credits from the registry,,2019.0,Canceled,2018,Compliance,,,,,,
ACR248,Cumberland Forest Highlands IFM,2017,ACR-US-248-2017-711-987 to 243214,242228,2019-02-26,Forest Carbon,2014-11-14 00:00:00,"Wise, Dickenson, Russell, and Buchannan Counties",VIRGINIA,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2018-03-22 14:27:36,The Forestland Group LLC,Convert to ARB offset credits,,2019.0,ARB,2018,Compliance,,,,,,
