Project ID,CARB Issuance ID,OPR Project ID,Project Type,Early Action/ Compliance,Reporting Period Start Date,Reporting Period End Date,Vintage,ARB Offset Credits Issued,Forest Buffer Account Contribution,Issuance Date,Invalidation Timeframe,Date Invalidation Period Reduced,Start of Invalidation Timeframe,Project Name,Project Operator,Verification Body,State,Provides DEBS,"Section 95989(b) Documentation, if applicable",Project Documentation,Retired Buffer Pool,Retired Voluntarily,Retired 1st Compliance Period (CA),Retired 2nd Compliance Period (CA),Retired 3rd Compliance Period (CA),Retired 4th Compliance Period (CA),Retired for Compliance (Quebec),Retired Intentional Reversal,Comments,Vintage remaining,Issuance total from registry,Issuance Year,Registry,ARB Source Data,Updated 11-1-23,Total ARB Credits Issued:,220439110,Total ARB Credits Retired:,163158520
ACR279,CAFR5229-C,ACR279,Forest,COP,2018-06-01,2019-05-31,2019.0,48192,9253,2020-03-24,8 years,,2019-05-31 00:00:00,Blue Source – Lonesome Pine Improved Forest Management Project,"Heartwood Forestland Fund V, LP","Ruby Canyon Engineering, Inc.",VA,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=279,0.0,0,0,0,38731,0,0,0,,9461,38939.0,2020.0,ACR,,,,,,
ACR279,CAFR5229-D,ACR279,Forest,COP,2019-06-01,2020-05-31,2020.0,50666,9728,2021-01-26,8 years,,2020-05-31 00:00:00,Cumberland Forest – Lonesome Pine Improved Forest Management Project,"CF Highlands, LLC","Ruby Canyon Environmental, Inc.",VA,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=279,0.0,40938,0,0,0,0,0,0,"15,000 credits were voluntarily retired in March 2021, and 25,938 more credits were voluntarily retired in March 2022.",9728,40938.0,2021.0,ACR,,,,,,
ACR279,CAFR5229-E,ACR279,Forest,COP,2020-06-01,2021-05-31,2021.0,51911,9967,2022-04-12,8 years,,2021-05-31 00:00:00,Cumberland Forest – Lonesome Pine Improved Forest Management Project,"CF Highlands, LLC","Ruby Canyon Environmental, Inc.",VA,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=279,0.0,28150,0,0,0,0,0,0,"28,150 credits were voluntarily retired in July 2022.",23761,41944.0,2022.0,ACR,,,,,,
ACR280,CAFR5230-A,ACR280,Forest,COP,2015-10-20,2017-04-30,2017.0,1019350,196085,2019-03-12,3 years,2020-02-25 00:00:00,2017-04-30 00:00:00,Blue Source – Marmet Improved Forest Management Project,"Heartwood Forestland Fund VIII, LP","Environmental Services, Inc.",WV,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=280,0.0,0,0,0,448265,10494,0,0,,560591,823265.0,2019.0,ACR,,,,,,
ACR280,CAFR5230-B,ACR280,Forest,COP,2017-05-01,2018-04-30,2018.0,23578,4536,2020-02-25,8 years,,2018-04-30 00:00:00,Blue Source – Marmet Improved Forest Management Project,"Heartwood Forestland Fund VIII, LP","Ruby Canyon Engineering, Inc.",WV,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=280,0.0,0,0,0,6325,0,12717,0,,4536,19042.0,2020.0,ACR,,,,,,
ACR280,CAFR5230-C,ACR280,Forest,COP,2018-05-01,2019-04-30,2019.0,113180,21772,2020-02-25,8 years,,2019-04-30 00:00:00,Blue Source – Marmet Improved Forest Management Project,"Heartwood Forestland Fund VIII, LP","Ruby Canyon Engineering, Inc.",WV,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=280,0.0,0,0,0,84770,4917,0,0,,23493,91408.0,2020.0,ACR,,,,,,
ACR280,CAFR5230-D,ACR280,Forest,COP,2019-05-01,2020-04-30,2020.0,22277,4286,2021-01-26,8 years,,2020-04-30 00:00:00,Blue Source – Marmet Improved Forest Management Project,"Heartwood Forestland Fund VIII, LP","Ruby Canyon Environmental, Inc.",WV,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=280,0.0,0,0,0,0,0,0,0,,22277,17991.0,2021.0,ACR,,,,,,
ACR280,CAFR5230-E,ACR280,Forest,COP,2020-05-01,2021-04-30,2021.0,79283,15252,2022-08-23,8 years,,2021-04-30 00:00:00,Blue Source – Marmet Improved Forest Management Project,"Heartwood Forestland Fund VIII, LP","Ruby Canyon Environmental, Inc.",WV,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=280,0.0,0,0,0,0,0,0,0,,79283,64031.0,2022.0,ACR,,,,,,
ACR280,CAFR5230-F,ACR280,Forest,COP,2021-05-01,2022-04-30,2022.0,49597,9541,2023-07-25,8 years,,2022-04-30 00:00:00,Blue Source – Marmet Improved Forest Management Project,"Bluesource Sustainable Forests Company, LLC","Ruby Canyon Environmental, Inc.",WV,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=280,0.0,0,0,0,0,0,0,0,,49597,,2023.0,ACR,,,,,,
ACR281,CAFR5231-(reversal),ACR281,Forest,COP,2018-08-27,2019-08-26,,,,2022-01-25,,,,Blue Source – Wisconsin Northern Highlands Improved Forest Management Project,"Wisconsin Northern Highlands NMTC, LLC","Aster Global Environmental Solutions, Inc.",WI,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=281,,0,0,0,0,0,0,0,"On 1/25/2022, CARB approved the verification of an unintentional reversal of 46,360 mtCO2e during the project’s fourth reporting period. This reversal did not result in project termination. CARB retired 46,360 ARB Offset Credits from the Forest Buffer Account due to the reversal.",0,,2022.0,ACR,,,,,,
ACR281,CAFR5231-(reversal),ACR281,Forest,COP,2019-08-27,2020-08-26,,,,2022-01-25,,,,Blue Source – Wisconsin Northern Highlands Improved Forest Management Project,"Wisconsin Northern Highlands NMTC, LLC","Aster Global Environmental Solutions, Inc.",WI,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=281,,0,0,0,0,0,0,0,"On 1/25/2022, CARB approved the verification of an unintentional reversal of 13,120 mtCO2e during the project’s fourth reporting period. This reversal did not result in project termination. CARB retired 13,120 ARB Offset Credits from the Forest Buffer Account due to the reversal.",0,,2022.0,ACR,,,,,,
ACR281,CAFR5231-A,ACR281,Forest,COP,2015-10-27,2016-08-26,2016.0,375073,69951,2018-11-13,3 years,2022-01-25 00:00:00,2016-08-26 00:00:00,Blue Source – Wisconsin Northern Highlands Improved Forest Management Project,"Wisconsin Northern Highlands NMTC, LLC","Environmental Services, Inc.",WI,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=281,0.0,0,0,0,41207,0,263915,0,,69951,305185.0,2018.0,ACR,,new,,,,
ACR281,CAFR5231-B,ACR281,Forest,COP,2016-08-27,2017-08-26,2017.0,28133,5402,2022-01-25,8 years,,2017-08-26 00:00:00,Blue Source – Wisconsin Northern Highlands Improved Forest Management Project,"Wisconsin Northern Highlands NMTC, LLC","Aster Global Environmental Solutions, Inc.",WI,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=281,0.0,0,0,0,0,0,0,0,,28133,22731.0,2022.0,ACR,,new,,,,
ACR281,CAFR5231-C,ACR281,Forest,COP,2017-08-27,2018-08-26,2018.0,4768,915,2022-01-25,8 years,,2018-08-26 00:00:00,Blue Source – Wisconsin Northern Highlands Improved Forest Management Project,"Wisconsin Northern Highlands NMTC, LLC","Aster Global Environmental Solutions, Inc.",WI,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=281,0.0,0,0,0,0,0,0,0,,4768,3853.0,2022.0,ACR,,,,,,
ACR282,CAFR5232-A,ACR282,Forest,COP,2015-03-19,2016-06-30,2016.0,540599,103991,2017-09-12,3 years,2018-06-12 00:00:00,2016-06-30 00:00:00,Blue Creek,Western Rivers Forestry,"S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=282,0.0,0,0,436608,0,0,0,0,,103991,428644.0,2017.0,ACR,,new,,,,
ACR282,CAFR5232-B,ACR282,Forest,COP,2016-07-01,2017-06-30,2017.0,227161,43697,2018-06-12,3 years,2020-12-08 00:00:00,2017-06-30 00:00:00,Blue Creek,Western Rivers Forestry,"Environmental Services, Inc.",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=282,0.0,0,0,183464,0,0,0,0,,43697,183464.0,2018.0,ACR,,,,,,
ACR282,CAFR5232-C,ACR282,Forest,COP,2017-07-01,2018-06-30,2018.0,87330,16799,2019-02-26,3 years,2020-12-08 00:00:00,2018-06-30 00:00:00,Blue Creek,Western Rivers Forestry,"Environmental Services, Inc.",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=282,0.0,0,0,0,0,0,0,0,,87330,70531.0,2019.0,ACR,,,,,,
ACR282,CAFR5232-D,ACR282,Forest,COP,2018-07-01,2019-06-30,2019.0,149643,28786,2020-05-12,3 years,2020-12-08 00:00:00,2019-06-30 00:00:00,Blue Creek,Western Rivers Forestry,"Environmental Services, Inc.",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=282,0.0,0,0,0,0,0,0,0,,149643,120857.0,2020.0,ACR,,,,,,
ACR282,CAFR5232-E,ACR282,Forest,COP,2019-07-01,2020-06-30,2020.0,98567,18961,2020-12-08,8 years,,2020-06-30 00:00:00,Blue Creek,Western Rivers Forestry,"S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=282,0.0,40000,0,0,0,0,0,0,"10,000 credits were voluntarily retired in March 2021, and 30,000 more credits were voluntarily retired in July 2022.",58567,79606.0,2020.0,ACR,,,,,,
ACR282,CAFR5232-F,ACR282,Forest,COP,2020-07-01,2021-06-30,2021.0,117878,22675,2022-09-13,8 years,,2021-06-30 00:00:00,Blue Creek,Western Rivers Forestry,"S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=282,0.0,0,0,0,0,0,0,0,,117878,95203.0,2022.0,ACR,,,,,,
ACR282,CAFR5232-G,ACR282,Forest,COP,2021-07-01,2022-06-30,2022.0,127653,24556,2023-09-12,8 years,,2022-06-30 00:00:00,Blue Creek,Western Rivers Forestry,"S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=282,0.0,0,0,0,0,0,0,0,,127653,,2023.0,ACR,,,,,,
ACR283,CALS5223-A,ACR283,Livestock,COP,2014-09-16,2015-09-15,2015.0,28911,,2016-10-25,3 years,2017-05-23 00:00:00,2015-09-15 00:00:00,Rosendale Anaerobic Digester,"UW-Oshkosh Foundation Rosendale Biodigester, LLC","SES, Inc.",WI,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=283,0.0,0,0,28911,0,0,0,0,,0,28911.0,2016.0,ACR,,,,,,
ACR283,CALS5223-B,ACR283,Livestock,COP,2015-09-16,2016-09-15,2016.0,36380,,2017-05-23,3 years,2018-05-08 00:00:00,2016-09-15 00:00:00,Rosendale Anaerobic Digester,"UW-Oshkosh Foundation Rosendale Biodigester, LLC","Agri-Waste Technology, Inc.",WI,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=283,0.0,0,0,36380,0,0,0,0,,0,36380.0,2017.0,ACR,,,,,,
ACR283,CALS5223-C,ACR283,Livestock,COP,2016-09-16,2017-09-15,2017.0,29410,,2018-05-08,8 years,,2017-09-15 00:00:00,Rosendale Anaerobic Digester,"UW-Oshkosh Foundation Rosendale Biodigester, LLC","GHD Services, Inc.",WI,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=283,0.0,0,0,0,0,0,29410,0,,0,29410.0,2018.0,ACR,,,,,,
ACR284,CAFR5235-A,ACR284,Forest,COP,2015-10-15,2017-02-02,2017.0,792474,152472,2018-10-09,3 years,2019-03-26 00:00:00,2017-02-02 00:00:00,Finite Carbon – Massachusetts Audubon Society IFM,"Massachusetts Audubon Society, Inc.","S&A Carbon, LLC",MA,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=284,0.0,0,0,580002,60000,0,0,0,,152472,640002.0,2018.0,ACR,,,,,,
ACR284,CAFR5235-B,ACR284,Forest,COP,2017-02-03,2018-02-02,2018.0,19467,3746,2019-03-26,8 years,,2018-02-02 00:00:00,Finite Carbon – Massachusetts Audubon Society IFM,"Massachusetts Audubon Society, Inc.",NSF International,MA,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=284,0.0,0,0,0,0,0,15721,0,,3746,15721.0,2019.0,ACR,,,,,,
ACR284,CAFR5235-C,ACR284,Forest,COP,2018-02-03,2019-02-02,2019.0,20920,4026,2020-10-13,8 years,,2019-02-02 00:00:00,Finite Carbon – Massachusetts Audubon Society IFM,"Massachusetts Audubon Society, Inc.","NSF Certification, LLC",MA,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=284,0.0,0,0,0,2228,0,0,0,,18692,16894.0,2020.0,ACR,,,,,,
ACR284,CAFR5235-D,ACR284,Forest,COP,2019-02-03,2020-02-02,2020.0,20920,4026,2020-10-13,8 years,,2020-02-02 00:00:00,Finite Carbon – Massachusetts Audubon Society IFM,"Massachusetts Audubon Society, Inc.","NSF Certification, LLC",MA,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=284,0.0,0,0,0,0,0,0,0,,20920,16894.0,2020.0,ACR,,,,,,
ACR285,CAOD5216-A,ACR285,ODS,COP,2015-11-20,2015-11-24,2015.0,45663,,2016-01-26,8 years,,2015-11-24 00:00:00,EOS ACR 285,"EOS Climate, Inc.","SES, Inc.",AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=285,0.0,0,0,45663,0,0,0,0,,0,45663.0,2016.0,ACR,,,,,,
ACR287,CAFR5237-A,ACR287,Forest,COP,2016-08-05,2018-05-13,2018.0,277889,34362,2019-04-09,8 years,,2018-05-13 00:00:00,Green Assets – BJT Avoided Conversion Project,"CTB Timberland Properties, LLC","S&A Carbon, LLC",GA,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=287,0.0,0,0,0,184491,0,59036,0,,34362,243527.0,2019.0,ACR,,,,,,
ACR287,CAFR5237-B,ACR287,Forest,COP,2018-05-14,2019-05-13,2019.0,169341,20940,2019-11-26,8 years,,2019-05-13 00:00:00,Green Assets – BJT Avoided Conversion Project,"CTB Timberland Properties, LLC","S&A Carbon, LLC",GA,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=287,0.0,0,0,0,148401,0,0,0,,20940,148401.0,2019.0,ACR,,,,,,
ACR287,CAFR5237-C,ACR287,Forest,COP,2019-05-14,2020-05-13,2020.0,40321,4986,2020-10-27,8 years,,2020-05-13 00:00:00,Green Assets – BJT Avoided Conversion Project,"CTB Timberland Properties, LLC","S&A Carbon, LLC",GA,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=287,0.0,0,0,0,35335,0,0,0,,4986,35335.0,2020.0,ACR,,,,,,
ACR287,CAFR5237-D,ACR287,Forest,COP,2020-05-14,2021-05-13,2021.0,16739,2070,2021-12-07,8 years,,2021-05-13 00:00:00,Green Assets – BJT Avoided Conversion Project,"CTB Timberland Properties, LLC","S&A Carbon, LLC",GA,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=287,0.0,0,0,0,0,0,0,0,,16739,14669.0,2021.0,ACR,,,,,,
ACR288,CAFR5238-A,ACR288,Forest,COP,2015-07-29,2016-02-28,2016.0,21319,2636,2017-11-21,8 years,,2016-02-28 00:00:00,Camp Shelby Forest Carbon Project,Compatible Lands Foundation,"Environmental Services, Inc.",MS,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=288,0.0,0,0,0,0,0,18683,0,,2636,19151.0,2017.0,ACR,,,,,,
ACR288,CAFR5238-B,ACR288,Forest,COP,2016-02-29,2017-02-28,2017.0,3960,490,2019-10-22,8 years,,2017-02-28 00:00:00,Camp Shelby Forest Carbon Project,Compatible Lands Foundation,"Environmental Services, Inc.",MS,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=288,0.0,0,0,0,3470,0,0,0,,490,3470.0,2019.0,ACR,,,,,,
ACR288,CAFR5238-C,ACR288,Forest,COP,2017-03-01,2018-02-28,2018.0,1719,213,2019-10-22,8 years,,2018-02-28 00:00:00,Camp Shelby Forest Carbon Project,Compatible Lands Foundation,"Environmental Services, Inc.",MS,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=288,0.0,0,0,0,1506,0,0,0,,213,1506.0,2019.0,ACR,,,,,,
ACR288,CAFR5238-D,ACR288,Forest,COP,2018-03-01,2019-02-28,2019.0,2413,298,2019-10-22,8 years,,2019-02-28 00:00:00,Camp Shelby Forest Carbon Project,Compatible Lands Foundation,"Environmental Services, Inc.",MS,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=288,0.0,0,0,0,2115,0,0,0,,298,2115.0,2019.0,ACR,,,,,,
ACR288,CAFR5238-E,ACR288,Forest,COP,2019-03-01,2020-02-29,2020.0,1861,230,2023-09-12,8 years,,2020-02-29 00:00:00,Camp Shelby Forest Carbon Project,Compatible Lands Foundation,"Ruby Canyon Environmental, Inc.",MS,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=288,0.0,0,0,0,0,0,0,0,,1861,,2023.0,ACR,,,,,,
ACR288,CAFR5238-F,ACR288,Forest,COP,2020-03-01,2021-02-28,2021.0,2160,267,2023-09-12,8 years,,2021-02-28 00:00:00,Camp Shelby Forest Carbon Project,Compatible Lands Foundation,"Ruby Canyon Environmental, Inc.",MS,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=288,0.0,0,0,0,0,0,0,0,,2160,,2023.0,ACR,,,,,,
ACR288,CAFR5238-G,ACR288,Forest,COP,2021-03-01,2022-02-28,2022.0,2051,254,2023-09-12,8 years,,2022-02-28 00:00:00,Camp Shelby Forest Carbon Project,Compatible Lands Foundation,"Ruby Canyon Environmental, Inc.",MS,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=288,0.0,0,0,0,0,0,0,0,,2051,,2023.0,ACR,,,,,,
ACR292,CAFR5242-(reversal),ACR292,Forest,COP,2017-07-01,2018-06-30,,,,2020-09-22,,,,Congaree River,"Congaree River, LLC, an Illinois LLC","S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=292,,0,0,0,0,0,0,0,"On 9/22/2020, CARB approved the verification of an intentional reversal of 20,297 mtCO2e during the project’s third reporting period.  Pursuant to section 95983(c)(3), the forest owners are required to submit 20,297 compliance instruments to CARB for placement in the Retirement Account.",0,,2020.0,ACR,,,,,,
ACR292,CAFR5242-A,ACR292,Forest,COP,2015-10-21,2016-06-30,2016.0,117216,22505,2017-12-12,3 years,2020-09-22 00:00:00,2016-06-30 00:00:00,Congaree River,"Congaree River, LLC, an Illinois LLC",SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=292,0.0,0,0,94711,0,0,0,0,,22505,94711.0,2017.0,ACR,,,,,,
ACR292,CAFR5242-B,ACR292,Forest,COP,2016-07-01,2017-06-30,2017.0,2891,556,2020-09-22,8 years,,2017-06-30 00:00:00,Congaree River,"Congaree River, LLC, an Illinois LLC","S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=292,0.0,0,0,0,0,0,0,0,,2891,2335.0,2020.0,ACR,,,,,,
ACR292,CAFR5242-C,ACR292,Forest,COP,2018-07-01,2019-06-30,2019.0,33582,6461,2020-09-22,8 years,,2019-06-30 00:00:00,Congaree River,"Congaree River, LLC, an Illinois LLC","S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=292,0.0,0,0,0,0,0,0,20297,"In March 2021, 20,297 credits surrendered by the offset project operator to meet the obligation for the CAFR5242 reversal were retired.",13285,27121.0,2020.0,ACR,,,,,,
ACR292,CAFR5242-D,ACR292,Forest,COP,2019-07-01,2020-06-30,2020.0,25287,4865,2022-06-07,8 years,,2020-06-30 00:00:00,Congaree River,"Congaree River, LLC, an Illinois LLC","S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=292,0.0,0,0,0,0,0,0,0,,25287,20422.0,2022.0,ACR,,,,,,
ACR292,CAFR5242-E,ACR292,Forest,COP,2020-07-01,2021-06-30,2021.0,30032,5778,2022-06-07,8 years,,2021-06-30 00:00:00,Congaree River,"Congaree River, LLC, an Illinois LLC","S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=292,0.0,0,0,0,0,0,0,0,,30032,24254.0,2022.0,ACR,,,,,,
ACR292,CAFR5242-F,ACR292,Forest,COP,2021-07-01,2022-06-30,2022.0,17117,3293,2023-08-08,8 years,,2022-06-30 00:00:00,Congaree River,"Congaree River, LLC, an Illinois LLC","S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=292,0.0,0,0,0,0,0,0,0,,17117,,2023.0,ACR,,,,,,
ACR293,CAFR5243-A,ACR293,Forest,COP,2015-10-29,2017-08-11,2017.0,463017,89085,2020-11-09,8 years,,2017-08-11 00:00:00,Finite Carbon – Lakes Region Conservation Trust IFM,Lakes Region Conservation Trust,SCS Global Services,NH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=293,0.0,0,0,0,373932,0,0,0,,89085,390775.0,2020.0,ACR,,,,,,
ACR303,CAFR5253-(reversal),ACR303,Forest,COP,2018-09-16,2019-09-15,,,,2022-01-25,,,,White Mountain Apache Tribe Carbon Project II,White Mountain Apache Tribe,"S&A Carbon, LLC",AZ,DEBS,https://ww2.arb.ca.gov/sites/default/files/2022-11/debs5253.pdf,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=303,,0,0,0,0,0,0,0,"On 1/25/2022, CARB approved the verification of an intentional reversal of 348,989 mtCO2e during the project’s fourth reporting period.  Pursuant to section 95983(c)(3), the forest owners are required to submit 348,989 compliance instruments to CARB for placement in the Retirement Account.",0,,2022.0,ACR,,,,,,
ACR303,CAFR5253-A,ACR303,Forest,COP,2015-10-28,2016-09-15,2016.0,6004826,845614,2018-05-08,3 years,2022-01-25 00:00:00,2016-09-15 00:00:00,White Mountain Apache Tribe Carbon Project II,White Mountain Apache Tribe,SCS Global Services,AZ,DEBS,https://ww2.arb.ca.gov/sites/default/files/2022-11/debs5253.pdf,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=303,0.0,0,0,1632854,2453082,0,510797,0,"In October 2020, 2,898 credits surrendered by a covered entity to meet the obligation for the CALS5123-D invalidation were retired.",1408093,,2018.0,ACR,,,,,,
ACR303,CAFR5253-B,ACR303,Forest,COP,2016-09-16,2017-09-15,2017.0,339615,35796,2022-01-25,8 years,,2017-09-15 00:00:00,White Mountain Apache Tribe Carbon Project II,White Mountain Apache Tribe,"S&A Carbon, LLC",AZ,DEBS,https://ww2.arb.ca.gov/sites/default/files/2022-11/debs5253.pdf,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=303,0.0,0,0,0,0,0,0,100000,"In June 2022, 100,000 credits surrendered by the offset project operator to meet the obligation for the CAFR5253 reversal were retired.",239615,303819.0,2022.0,ACR,,,,,,
ACR303,CAFR5253-C,ACR303,Forest,COP,2017-09-16,2018-09-15,2018.0,178528,18817,2022-01-25,8 years,,2018-09-15 00:00:00,White Mountain Apache Tribe Carbon Project II,White Mountain Apache Tribe,"S&A Carbon, LLC",AZ,DEBS,https://ww2.arb.ca.gov/sites/default/files/2022-11/debs5253.pdf,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=303,0.0,0,0,0,0,0,0,248989,"In June 2022, 248,989 credits surrendered by the offset project operator to meet the obligation for the CAFR5253 reversal were retired.",-70461,159711.0,2022.0,ACR,,,,,,
ACR311,CAOD5261-A,ACR311,ODS,COP,2016-04-06,2016-04-13,2016.0,107264,,2016-06-21,8 years,,2016-04-13 00:00:00,EOS ACR 311,"EOS Climate, Inc.","Ruby Canyon Engineering, Inc.",AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=311,,0,0,107264,0,0,0,0,,0,107264.0,2016.0,ACR,,,,,,
ACR312,CAOD5262-A,ACR312,ODS,COP,2016-02-18,2016-02-25,2016.0,140871,,2016-04-26,8 years,,2016-02-25 00:00:00,EOS ACR 312,"EOS Climate, Inc.","Ruby Canyon Engineering, Inc.",AR,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=312,,0,0,0,112871,0,0,0,,28000,140871.0,2016.0,ACR,,,,,,
ACR313,CALS5263-A,ACR313,Livestock,COP,2014-05-01,2015-11-30,2015.0,21886,,2016-10-11,3 years,2017-12-12 00:00:00,2015-11-30 00:00:00,High Island Dairy,"Davis Family Dairies, LLC","Agri-Waste Technology, Inc.",MN,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=313,,0,0,21886,0,0,0,0,,0,21886.0,2016.0,ACR,,,,,,
ACR313,CALS5263-B,ACR313,Livestock,COP,2015-12-01,2016-11-30,2016.0,15385,,2017-12-12,3 years,2018-07-10 00:00:00,2016-11-30 00:00:00,High Island Dairy,"Davis Family Dairies, LLC","Ruby Canyon Engineering, Inc.",MN,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=313,,0,0,0,0,0,15385,0,,0,15385.0,2017.0,ACR,,,,,,
ACR313,CALS5263-C,ACR313,Livestock,COP,2016-12-01,2017-11-30,2017.0,14815,,2018-07-10,3 years,2019-08-13 00:00:00,2017-11-30 00:00:00,High Island Dairy,"Davis Family Dairies, LLC","GHD Services, Inc.",MN,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=313,,0,0,0,0,0,0,0,,14815,14815.0,2018.0,ACR,,,,,,
ACR313,CALS5263-D,ACR313,Livestock,COP,2017-12-01,2018-11-30,2018.0,15347,,2019-08-13,3 years,2020-06-23 00:00:00,2018-11-30 00:00:00,High Island Dairy,"Davis Family Dairies, LLC",Dillon Consulting Limited,MN,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=313,,0,0,0,15347,0,0,0,,0,15347.0,2019.0,ACR,,,,,,
ACR313,CALS5263-E,ACR313,Livestock,COP,2018-12-01,2019-11-30,2019.0,15533,,2020-06-23,3 years,2021-06-08 00:00:00,2019-11-30 00:00:00,High Island Dairy,"Davis Family Dairies, LLC","Agri-Waste Technology, Inc.",MN,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=313,,0,0,0,15533,0,0,0,,0,15533.0,2020.0,ACR,,,,,,
ACR313,CALS5263-F,ACR313,Livestock,COP,2019-12-01,2020-11-30,2020.0,15646,,2021-06-08,3 years,2022-03-08 00:00:00,2020-11-30 00:00:00,High Island Dairy,"Davis Family Dairies, LLC",Dillon Consulting Limited,MN,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=313,,0,0,0,0,0,0,0,,15646,15646.0,2021.0,ACR,,,,,,
ACR313,CALS5263-G,ACR313,Livestock,COP,2020-12-01,2021-11-30,2021.0,19151,,2022-03-08,3 years,2023-07-25 00:00:00,2021-11-30 00:00:00,High Island Dairy,"Davis Family Dairies, LLC","Agri-Waste Technology, Inc.",MN,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=313,,0,0,0,0,0,0,0,,19151,19151.0,2022.0,ACR,,,,,,
ACR313,CALS5263-(zero),ACR313,Livestock,COP,2021-12-01,2022-11-30,,,,2023-07-25,,,,,"Davis Family Dairies, LLC",Dillon Consulting Limited,MN,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=313,,0,0,0,0,0,0,0,"On 7/25/2023, CARB approved the verification of 19,105 mtCO2e emission reductions during the project's eighth reporting period.  No ARB offset credits were requested.",0,,2023.0,ACR,,,,,,
