Project ID,Project Name,ARB ID,Cooperative/ Aggregate ID,Project Developer,Project Owner,Offset Project Operator,Authorized Project Designee,Verification Body,Project Type,Status,ARB Project Status,Project Site Location,Project Site State,Project Site Country,Additional Certifications,SDG Impact,Project Notes,Total Number of Offset Credits Registered ,Project Listed Date,Project Registered Date,Project Website,CAR Source Data,Updated 11-1-23,Total Projects:,872,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,34
CAR1267,Coolgas 2017-5,CAOD5347,,"COOLGAS, INC.","COOLGAS, INC.","Coolgas, Inc.",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,El Dorado,ARKANSAS,US,,,,50793.0,2017-07-18,2018-06-07,www.agasamericas.com,,,,,,,,,,,,
CAR1268,A-Gas Americas 2017-6,CAOD5368,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,"Reclamation Technologies, Inc. dba A-Gas Americas",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,Bowling Green,OHIO,US,,,,55404.0,2017-07-26,2017-09-22,www.agasamericas.com,,,,,,,,,,,,
CAR1269,Coolgas 2017-7,CAOD5369,,"COOLGAS, INC.","COOLGAS, INC.","Coolgas, Inc.",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,Bowling Green,OHIO,US,,,,33184.0,2017-07-21,2017-11-22,www.agasamericas.com,,,,,,,,,,,,
CAR1270,A-Gas Americas 2017-8,CAOD5362,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,"Reclamation Technologies, Inc. dba A-Gas Americas",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,Bowling Green,OHIO,US,,,,223464.0,2017-07-26,2017-10-27,www.agasamericas.com,,,,,,,,,,,,
CAR1271,ClimeCo ODS Destruction 21,CAOD5366,,ClimeCo LLC,ClimeCo LLC,ClimeCo Corporation,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,140452.0,2017-07-31,2017-11-30,www.climeco.com,,,,,,,,,,,,
CAR1272,DPC Domestic ODS Destruction Project #30,CAOD5372,,"Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,Heritage Thermal Services,OHIO,US,,,,51298.0,2017-08-01,2017-12-20,www.divpc.com,,,,,,,,,,,,
CAR1274,Lawnhurst Farms Methane Reduction Project,CALS5374,,"3Degrees Group, Inc","3Degrees Group, Inc","3Degrees Group, Inc",,,Livestock - ARB Compliance,Registered,Active ARB Project,Ontario County,NEW YORK,US,,,,33378.0,2017-09-20,2020-02-27,,,,,,,,,,,,,
CAR1275,Chaput Family Farms,CALS5375,,"Ag Methane Advisors, LLC","Ag Methane Advisors, LLC",Chaput Family Farms,"Ag Methane Advisors, LLC",,Livestock - ARB Compliance,Registered,Active ARB Project,North Troy,VERMONT,US,,,,17016.0,2017-09-29,2020-11-13,,,,,,,,,,,,,
CAR1276,Berkshire Cow Power,CALS5376,,"Ag Methane Advisors, LLC","Ag Methane Advisors, LLC","Pleasant Valley Farms of Berkshire, LLC","Ag Methane Advisors, LLC",,Livestock - ARB Compliance,Listed,Proposed Project,Berkshire,VERMONT,US,,,,,2017-09-27,,,,,,,,,,,,,,
CAR1277,ClimeCo ODS Destruction 22,CAOD5327,,ClimeCo LLC,ClimeCo LLC,ClimeCo Corporation,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,53956.0,2017-09-27,2018-04-10,www.climeco.com,,,,,,,,,,,,
CAR1278,ClimeCo ODS Destruction 23,CAOD5328,,ClimeCo LLC,ClimeCo LLC,ClimeCo Corporation,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,44681.0,2017-10-13,2018-08-17,www.climeco.com,,,,,,,,,,,,
CAR1279,ClimeCo ODS Destruction 24,CAOD5329,,ClimeCo LLC,ClimeCo LLC,ClimeCo Corporation,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,56727.0,2018-04-21,2018-08-31,www.climeco.com,,,,,,,,,,,,
CAR1280,ClimeCo ODS Destruction 25,CAOD5330,,ClimeCo LLC,ClimeCo LLC,ClimeCo Corporation,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,71572.0,2018-02-10,2018-08-03,www.climeco.com,,,,,,,,,,,,
CAR1281,Four Hills Farm,CALS5324,,"Ag Methane Advisors, LLC","Ag Methane Advisors, LLC",Four Hills Farm Partnership,"Ag Methane Advisors, LLC",,Livestock - ARB Compliance,Registered,Active ARB Project,Bristol,VERMONT,US,,,,32219.0,2017-09-29,2020-12-11,,,,,,,,,,,,,
CAR1282,Captura de carbono en San Rafael Ixtapalucan,,,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Ejido San Rafael Ixtapalucan,,,SCS Global Services,Forestry - MX,Registered,Not ARB Eligible,San Rafael Ixtapalucan,PUEBLA,MX,,1. No Poverty;2. Zero Hunger;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;10. Reduced Inequalities;11. Sustainable Cities and Communities;13. Climate Action;15. Life on Land,,24870.0,2017-10-20,2020-07-28,www.icico.mx,,,,,,,,,,,,
CAR1283,Swiss Valley Farms,CALS5325,,"Camco Offsets I, LLC","Camco Offsets I, LLC","Swiss Valley Farms, LLC","Camco Offsets I, LLC",,Livestock - ARB Compliance,Completed,Terminated,"Warsaw, NY",NEW YORK,US,,,,13364.0,2017-10-05,2019-04-02,,,,,,,,,,,,,
CAR1284,BNW Ranch,,CARC1394,Climate Trust Capital Fund I LP,The Nature Conservancy,,,,Avoided Grassland Conversion,Registered,Not ARB Eligible,Wallowa County,OREGON,US,,,,25689.0,2017-11-20,2019-12-17,,,,,,,,,,,,,
CAR1285,Conservación y Captura de Carbono Co2ltzingo,,,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,EJIDO SANTIAGO COLTZINGO,,,,Forestry - MX,Registered,Not ARB Eligible,Santiago Coltzingo,PUEBLA,MX,,1. No Poverty;2. Zero Hunger;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;10. Reduced Inequalities;11. Sustainable Cities and Communities;13. Climate Action;15. Life on Land,,40682.0,2022-05-05,2019-04-10,www.icico.org.mx,,,,,,,,,,,,
CAR1286,A-Gas Americas 2018-1,CAOD5326,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,"Reclamation Technologies, Inc dba A-Gas Americas",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,Bowling Green,OHIO,US,,,,154972.0,2017-11-10,2018-02-06,www.agasamericas.com,,,,,,,,,,,,
CAR1287,Perfect Cycle ODS-3,CAOD5331,,"Perfect Score Too, LTD","Perfect Score Too, LTD","Perfect Score Technologies, LLC",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"Bowling Green, Ohio",OHIO,US,,,,52930.0,2017-12-01,2018-02-28,www.perfectcycle.com,,,,,,,,,,,,
CAR1288,GJ TeVelde Ranch Dairy Digester,CALS5388,,"Maas Energy Works, Inc.","Maas Energy Works, Inc.","GJ TeVelde Ranch Energy, LLC",Maas Energy Works,,Livestock - ARB Compliance,Completed,,Tulare County,CALIFORNIA,US,,,,49676.0,2017-11-18,2018-11-16,,,,,,,,,,,,,
CAR1289,Irony,CAOD5399,,"Irony, LLC","Irony, LLC",Irony LLC,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,Bowling Green,OHIO,US,,,,8330.0,2018-08-27,2018-12-17,,,,,,,,,,,,,
CAR1290,A-Gas Americas 2018-2,CAOD5380,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,"Reclamation Technologies, Inc dba A-Gas Americas",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,Bowling Green,OHIO,US,,,,119844.0,2017-12-15,2018-02-20,www.agasamericas.com,,,,,,,,,,,,
CAR1291,Verwey Madera Dairy Digester,CALS5391,,Philip Verwey Farms,Philip Verwey Farms,"Philip Verwey Dairy, Inc.","Ag Methane Advisors, LLC",,Livestock - ARB Compliance,Registered,Active ARB Project,Madera County,CALIFORNIA,US,,,,80170.0,2018-02-05,2020-08-03,,,,,,,,,,,,,
CAR1292,Forest Carbon Partners - Seldovia Native Association Forest Carbon Project,CAFR5382,,"Forest Carbon Partners, L.P.","Forest Carbon Partners, L.P.","Seldovia Native Association, Inc.","Forest Carbon Partners, L.P.",,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,Kenai Peninsula Borough,ALASKA,US,,,,1917966.0,2018-01-04,2020-04-06,www.forestcarbonpartners.com,,,,,,,,,,,,
CAR1293,Forest Carbon Partners - English Bay Corporation Forest Carbon Project,CAFR5384,,"Forest Carbon Partners, L.P.","Forest Carbon Partners, L.P.",English Bay Corporation,"Forest Carbon Partners, L.P.",,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,Kenai Peninsula Borough,ALASKA,US,,,,1574251.0,2018-01-04,2020-04-06,www.forestcarbonpartners.com,,,,,,,,,,,,
CAR1294,Lakeshore Dairy,CALS5394,,"Camco Offsets I, LLC","Camco Offsets I, LLC","Lakeshore Dairy, LLC","Camco Offsets I, LLC",,Livestock - ARB Compliance,Completed,Terminated,"Wilson, NY",NEW YORK,US,,,,14632.0,2018-02-17,2020-09-15,,,,,,,,,,,,,
CAR1295,A-Gas 2018-3,CAOD5389,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,"Reclamation Technologies, Inc. dba A-Gas",none,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,Bowling Green,OHIO,US,,,,97831.0,2018-01-31,2018-05-05,www.agasamericas.com,,,,,,,,,,,,
CAR1296,A-Gas 2018-4,CAOD5405,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,"Reclamation Technologies, Inc. dba A-Gas Americas",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,Bowling Green,OHIO,US,,,,110290.0,2018-02-10,2018-07-18,www.agasamericas.com,,,,,,,,,,,,
CAR1297,Finite Carbon - Sieben Live Stock IFM,CAFR5397,,Sieben Live Stock Co,Sieben Live Stock Co,Sieben Live Stock Company,,,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,"Lewis and Clark, Cascade, Meagher, and Powell counties",MONTANA,US,,,,300300.0,2018-03-30,2019-09-04,,,,,,,,,,,,,
CAR1298,Adirondack Farms,CALS5398,,"Camco Offsets I, LLC","Camco Offsets I, LLC","Adirondack Farms, LLC","Camco Offsets I, LLC",SCS Engineers,Livestock - ARB Compliance,Registered,Active ARB Project,"Peru, NY",NEW YORK,US,,,,73037.0,2018-03-27,2019-07-30,,,,,,,,,,,,,
CAR1299,Heartland Ranch Phase 2,,,Southern Plains Land Trust,Southern Plains Land Trust,,,"Ruby Canyon Environmental, Inc.",Avoided Grassland Conversion,Registered,Not ARB Eligible,Bent County,COLORADO,US,,,,10607.0,2018-08-13,2019-03-29,Southern Plains Land Trust,,,,,,,,,,,,
CAR1300,ClimeCo ODS Destruction 26,CAOD6300,,ClimeCo LLC,ClimeCo LLC,ClimeCo Corporation,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,123703.0,2018-06-08,2018-11-16,www.climeco.com,,,,,,,,,,,,
CAR1301,ClimeCo ODS Destruction 27,CAOD6301,,ClimeCo LLC,ClimeCo LLC,ClimeCo Corporation,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,50473.0,2018-06-28,2018-11-16,www.climeco.com,,,,,,,,,,,,
CAR1302,ClimeCo ODS Destruction 28,CAOD6302,,ClimeCo LLC,ClimeCo LLC,ClimeCo Corporation,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,58745.0,2018-09-12,2018-12-26,www.climeco.com,,,,,,,,,,,,
CAR1303,A-Gas 2018-5,CAOD6303,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,"Reclamation Technologies, Inc.",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"Bowling Green, Wood County",OHIO,US,,,,102700.0,2018-06-28,2018-08-17,,,,,,,,,,,,,
CAR1305,A-Gas 2018-7,CAOD6305,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,Reclamation Technologies Inc.,,,Ozone Depleting Substances - U.S. - ARB Compliance,Registered,Completed,"Bowling Green, Wood County",OHIO,US,,,,159218.0,2018-06-28,2018-09-07,,,,,,,,,,,,,
CAR1306,"Proyecto Carbono Forestal, Ejido San Nicolás Totolapan, CDMX",,,Secretaría del Medio Ambiente / Fondo Ambiental Público del Distrito Federal,Ejido de San Nicolás Totolapan,,,"Asociacion de Normalizacion y Certificacion, S.A. de C.V.",Forestry - MX,Registered,Not ARB Eligible,Delegación Magdalena Contreras,DISTRITO FEDERAL,MX,,,,4248.0,2018-06-01,2018-08-28,,,,,,,,,,,,,
CAR1308,Coolgas 2018-6,CAOD6308,,"COOLGAS, INC.","COOLGAS, INC.","Coolgas, Inc.",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"Wood County, Bowling Green",OHIO,US,,,,60855.0,2018-06-08,2018-08-21,www.agasamericas.com,,,,,,,,,,,,
CAR1309,ClimeCo ODS Destruction 29,CAOD6309,,ClimeCo LLC,ClimeCo LLC,ClimeCo Corporation,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,"East Liverpool, Ohio",OHIO,US,,,,97696.0,2018-10-02,2019-04-26,www.climeco.com,,,,,,,,,,,,
CAR1310,ClimeCo ODS Destruction 30,CAOD6310,,ClimeCo LLC,ClimeCo LLC,ClimeCo Corporation,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,"East Liverpool, Ohio",OHIO,US,,,,140146.0,2019-01-04,2019-05-28,www.climeco.com,,,,,,,,,,,,
CAR1311,A-Gas 2018-8,CAOD6311,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,"Reclamation Technologies, Inc. dba A-Gas",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,"Wood County, Bowling Green",OHIO,US,,,,128012.0,2018-06-08,2018-10-31,www.agasamericas.com,,,,,,,,,,,,
CAR1312,A-Gas 2018-9,CAOD6312,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,"Reclamation Technologies, Inc. dba A-Gas",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,"Wood County, Bowling Green",OHIO,US,,,,93703.0,2018-06-08,2018-10-31,www.agasamericas.com,,,,,,,,,,,,
CAR1313,Save the Redwoods League 2018,CAFR6313,,Save the Redwoods League,Save the Redwoods League,Save the Redwoods League,,,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,Mendocino and Sonoma Counties,CALIFORNIA,US,,,,440956.0,2018-07-30,2020-02-18,www.savetheredwoods.org,,,,,,,,,,,,
CAR1314,Finite Carbon - Spokane Tribe of Indians IFM,CAFR6314,,Spokane Tribe of Indians,Spokane Tribe of Indians,Spokane Tribe of Indians,,,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,Stevens County,WASHINGTON,US,,,,1543995.0,2018-09-21,2019-12-20,,,,,,,,,,,,,
CAR1315,West Star North Dairy,CALS6315,,"California Bioenergy, LLC","California Bioenergy, LLC",ABEC #2 LLC,California Bioenergy LLC,"First Environment of California, Inc.",Livestock - ARB Compliance,Registered,Active ARB Project,Buttonwillow,CALIFORNIA,US,,,,95317.0,2018-09-05,2019-09-04,http://calbioenergy.com/,,,,,,,,,,,,
CAR1316,Lakeview Farms Dairy,CALS6316,,"California Bioenergy, LLC","California Bioenergy, LLC",ABEC #3 LLC,California Bioenergy LLC,"First Environment of California, Inc.",Livestock - ARB Compliance,Registered,Active ARB Project,Bakersfield,CALIFORNIA,US,,,,81777.0,2018-09-05,2019-09-03,http://calbioenergy.com/,,,,,,,,,,,,
CAR1317,CE&S Dairy,CALS6317,,"California Bioenergy, LLC","California Bioenergy, LLC",ABEC #4 LLC,California Bioenergy LLC,"First Environment of California, Inc.",Livestock - ARB Compliance,Registered,Active ARB Project,Bakersfield,CALIFORNIA,US,,,,103509.0,2018-09-05,2019-09-03,http://calbioenergy.com/,,,,,,,,,,,,
CAR1318,A-Gas 2019-1,CAOD6318,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas,,,Ozone Depleting Substances - U.S. - ARB Compliance,Registered,Active ARB Project,"Wood County, Bowling Green, Ohio",OHIO,US,,,,138241.0,2018-09-20,2019-03-25,www.agasamericas.com,,,,,,,,,,,,
CAR1319,Coolgas 2019-2,CAOD6319,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Inactive,"Wood County, Bowling Green, Ohio",OHIO,US,,,,,2018-09-20,,www.agasamericas.com,,,,,,,,,,,,
CAR1321,Remley Family Farms Anaerobic Digester,CALS6321,,"3Degrees Group, Inc","3Degrees Group, Inc","3Degrees Group, Inc",,"Agri-Waste Technology, Inc.",Livestock - ARB Compliance,Registered,Active ARB Project,Roaring Branch,PENNSYLVANIA,US,,,,8651.0,2018-10-16,2020-04-28,,,,,,,,,,,,,
CAR1323,A-Gas 2019-4,CAOD6323,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas,,,Ozone Depleting Substances - U.S. - ARB Compliance,Listed,Inactive,"Wood County, Bowling Green, Ohio",OHIO,US,,,,,2018-10-16,,www.agasamericas.com,,,,,,,,,,,,
CAR1324,AR-Joy Farm Dairy Digester,CALS6324,,"Native, a Public Benefit Corporation","Native, a Public Benefit Corporation","AR-Joy Farms, LLC","NativeEnergy, Inc","Ruby Canyon Environmental, Inc.",Livestock - ARB Compliance,Registered,Active ARB Project,Cochranville,PENNSYLVANIA,US,,,,3910.0,2019-01-04,2022-01-07,,,,,,,,,,,,,
CAR1325,Captura de Carbono Forestal Ejido San Lucas,,CARC1740,TERRITORIOS RURALES SOSTENIBLES AC,EJIDO SN LUCAS AMANALCO MPO DE AMANALCO DE BECERRA MEX,,,"Ruby Canyon Environmental, Inc.",Forestry - MX,Registered,Not ARB Eligible,Amanalco de Becerra,STATE OF MÉXICO,MX,,1. No Poverty;3. Good Health and Well-Being;6. Clean Water and Sanitation;7. Affordable and Clean Energy;8. Decent Work and Economic Growth;10. Reduced Inequalities;12. Responsible Consumption and Production;13. Climate Action;15. Life on Land,,9946.0,2019-03-21,2021-01-25,,,,,,,,,,,,,
CAR1326,ClimeCo ODS Destruction 31,CAOD6326,,ClimeCo LLC,ClimeCo LLC,ClimeCo Corporation,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,"East Liverpool, Ohio",OHIO,US,,,,56139.0,2019-01-15,2019-06-24,www.climeco.com,,,,,,,,,,,,
CAR1327,Perfect Cycle ODS-4,CAOD6327,,"Perfect Score Too, LTD","Perfect Score Too, LTD","Perfect Score Too, LTD",none,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,Bowling Green,OHIO,US,,,,65097.0,2018-12-21,2019-05-15,www.perfectcycle.com,,,,,,,,,,,,
CAR1328,Heartland Ranch Phase 3,,,Southern Plains Land Trust,Southern Plains Land Trust,Southern Plains Land Trust,Nicole Rosmarino,"Ruby Canyon Environmental, Inc.",Avoided Grassland Conversion,Registered,Not ARB Eligible,"Bent County, Colorado",COLORADO,US,,,,2068.0,2019-01-08,2020-01-24,Southern Plains Land Trust,,,,,,,,,,,,
CAR1329,Forest Carbon Partners - Hunter Ranch Improved Forest Management Project,CAFR6329,,"Forest Carbon Partners, L.P.","Forest Carbon Partners, L.P.","Hunter Ranch, LLC","Forest Carbon Partners, L.P.",,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,"near Korbel, CA",CALIFORNIA,US,,,,551534.0,2019-02-06,2020-07-22,,,,,,,,,,,,,
CAR1330,Monte Rio Improved Forest Management Project,CAFR6330,,"Forest Carbon Partners, L.P.","Forest Carbon Partners, L.P.",Bohemian Club,"Forest Carbon Partners, L.P.",,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,"Monte Rio, Sonoma County",CALIFORNIA,US,,,,261113.0,2019-09-04,2020-05-11,www.forestcarbonpartners.com,,,,,,,,,,,,
CAR1331,Finite Carbon - Boone Parklands IFM,CAFR6331,,"Corrigan TLP, LLC","Corrigan TLP, LLC","Corrigan TLP, LLC.",,,Improved Forest Management - ARB Compliance,Completed,Inactive,"Lewis, Greenup,Carter, Elliott, and Lee Counties",KENTUCKY,US,,,,,2019-03-15,,,,,,,,,,,,,,
CAR1332,Lubrecht Experimental Forest Carbon Project,CAFR6332,,"Spatial Informatics Group, LLC","Spatial Informatics Group, LLC",Montana Forest & Conservation Experiment Station (MFCES),Spatial Informatics Group LLC,"Ruby Canyon Environmental, Inc.",Improved Forest Management - ARB Compliance,Registered,Active ARB Project,Missoula County,MONTANA,US,,,,774633.0,2019-04-04,2020-09-18,,,,,,,,,,,,,
CAR1333,Captura de Carbono San Bartolo O2,,,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,EJIDO SAN BARTOLO AMANALCO,,,SCS Global Services,Forestry - MX,Registered,Not ARB Eligible,San Bartolo Amanalco,STATE OF MÉXICO,MX,,1. No Poverty;2. Zero Hunger;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;10. Reduced Inequalities;11. Sustainable Cities and Communities;13. Climate Action;15. Life on Land;17. Partnership for the Goals,,14806.0,2019-03-11,2019-12-04,www.icico.org.mx,,,,,,,,,,,,
CAR1334,Indigo Ag Nitrogen Management,,,Indigo Ag,Indigo Ag,,,,Nitrogen Management,Completed,Not ARB Eligible,"AZ, AR, CA, CO, ID, IL, IN, IA, KS, KY, MI, MN, MO, MT, NE, NC, ND, NY, OH, OK, OR, PA, SD, TN, TX, VA, WA, WI, WY",KANSAS,US,,,,,2019-04-08,,,,,,,,,,,,,,
CAR1335,Coffeyville NAP2,,,"ClimeCo Corp MCK NAP2, LLC.","ClimeCo Corp MCK NAP2, LLC.",,,"Ruby Canyon Environmental, Inc.",Nitric Acid N2O- Tertiary Catalyst,Registered,Not ARB Eligible,"Coffeyville, Kansas",KANSAS,US,,,,1040758.0,2019-04-02,2020-08-31,,,,,,,,,,,,,
CAR1336,TCT Birmingham IFM Project,CAFR6336,,Peak Carbon Offset LLC,Peak Carbon Offset LLC,Twin Creeks Timber LLC,Peak Carbon LLC,,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,"Bibb,Jefferson,Shelby,Tuscaloosa, Walker Counties",ALABAMA,US,,,,852600.0,2019-05-02,2019-12-11,,,,,,,,,,,,,
CAR1337,Two Fiets Digester,CALS6337,,"Maas Energy Works, Inc.","Maas Energy Works, Inc.",Two Fiets,Maas Energy Works,"First Environment of California, Inc.",Livestock - ARB Compliance,Registered,Active ARB Project,Tipton CA,CALIFORNIA,US,,,,26296.0,2020-03-24,2020-08-20,,,,,,,,,,,,,
CAR1339,Humboldt Mixed Forest Improvement Project,CAFR6339,,Peak Carbon LLC,Peak Carbon LLC,Green Diamond Resource Company,Peak Carbon LLC,"Ruby Canyon Environmental, Inc.",Improved Forest Management - ARB Compliance,Registered,Active ARB Project,Humboldt and Del Norte Counties,CALIFORNIA,US,,,,2895502.0,2019-06-13,2020-02-14,,,,,,,,,,,,,
CAR1340,"Optima KV, LLC",CALS6340,,"OptimaBio, LLC","OptimaBio, LLC","OptimaBio, LLC",,"Agri-Waste Technology, Inc.",Livestock - ARB Compliance,Registered,Active ARB Project,KENANSVILLE,NORTH CAROLINA,US,,,,52225.0,2019-07-02,2020-06-22,www.pig.energy,,,,,,,,,,,,
CAR1341,Hudson Tech 2019-4,CAOD6341,,Hudson Technologies Company,Hudson Technologies Company,Hudson Technologies Company,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active Registry Project,East Liverpool,OHIO,US,,,,73462.0,2019-05-21,2019-07-29,,,,,,,,,,,,,
CAR1343,RMS Coastal Headwaters Longleaf Restoration Avoided Conversion,,,Resource Management Service LLC,Resource Management Service LLC,"Resource Management Service, LLC",,,Avoided Conversion,Completed,Not ARB Eligible,Santa Rosa County; near Pace,FLORIDA,US,,,,,2019-06-04,,www.resourcemgt.com,,,,,,,,,,,,
CAR1344,Reforesting the Usumacinta River Delta,,,PLANALTO S.P.R. DE R.L.,PLANALTO S.P.R. DE R.L.,,,"Asociacion de Normalizacion y Certificacion, S.A. de C.V.",Forestry - MX,Listed,Not ARB Eligible,"Palizada, Campeche",CAMPECHE,MX,,,,,2019-05-30,,www.planalto.mx,,,,,,,,,,,,
CAR1345,El Nopalillo - ASRTulancingo,,CARC1519,"ASOCIACIÓN DE SILVICULTORES DE LA REGIÓN FORESTAL PACHUCA Y TULANCINGO, A.C.",Ejido El Nopalillo,,,"Asociacion de Normalizacion y Certificacion, S.A. de C.V.",Forestry - MX,Registered,Not ARB Eligible,"Epazoyucan, Nopalillo",HIDALGO,MX,,,,3000.0,2019-06-24,2021-02-25,,,,,,,,,,,,,
CAR1347,Cima de Togo - ASRTulancingo,,CARC1519,"ASOCIACIÓN DE SILVICULTORES DE LA REGIÓN FORESTAL PACHUCA Y TULANCINGO, A.C.",Ejido Cima de Togo,,,"Asociacion de Normalizacion y Certificacion, S.A. de C.V.",Forestry - MX,Registered,Not ARB Eligible,Cima de Togo,HIDALGO,MX,,,,9982.0,2019-06-24,2021-03-09,,,,,,,,,,,,,
CAR1348,Chacalapa - ASRTulancingo,,CARC1519,"ASOCIACIÓN DE SILVICULTORES DE LA REGIÓN FORESTAL PACHUCA Y TULANCINGO, A.C.",Ejido Chacalapa,,,"Asociacion de Normalizacion y Certificacion, S.A. de C.V.",Forestry - MX,Registered,Not ARB Eligible,"Cuautepec, Chacalapa",HIDALGO,MX,,,,2665.0,2019-06-24,2021-03-09,,,,,,,,,,,,,
CAR1350,El Ocote - ASRTulancingo,,CARC1519,"ASOCIACIÓN DE SILVICULTORES DE LA REGIÓN FORESTAL PACHUCA Y TULANCINGO, A.C.",Ejido El Ocote,,,"Asociacion de Normalizacion y Certificacion, S.A. de C.V.",Forestry - MX,Registered,Not ARB Eligible,"Epazoyucan, El Ocote Chico",HIDALGO,MX,,,,2089.0,2019-06-24,2021-03-09,,,,,,,,,,,,,
CAR1351,Sangre de Cristo - ASRTulancingo,,CARC1519,"ASOCIACIÓN DE SILVICULTORES DE LA REGIÓN FORESTAL PACHUCA Y TULANCINGO, A.C.",Propiedad Privada Rancho Sangre de Cristo,,,"Asociacion de Normalizacion y Certificacion, S.A. de C.V.",Forestry - MX,Registered,Not ARB Eligible,Santiago Tulantepec de Lugo Guerrero; Sangre de Cristo,HIDALGO,MX,,,,1107.0,2019-06-24,2021-02-25,,,,,,,,,,,,,
CAR1352,Xahuayalulco - ASRTulancingo,,CARC1519,"ASOCIACIÓN DE SILVICULTORES DE LA REGIÓN FORESTAL PACHUCA Y TULANCINGO, A.C.",Ejido Xahuayalulco,,,"Asociacion de Normalizacion y Certificacion, S.A. de C.V.",Forestry - MX,Registered,Not ARB Eligible,Cuautepec de Hinojosa; Xahuayalulco,HIDALGO,MX,,,,6776.0,2019-06-24,2021-02-25,,,,,,,,,,,,,
